open,high,low,close,tick_volume,EMA_20,EMA_50,RSI,MACD,Signal,Histogram
1.17059,1.17077,1.1705,1.17066,611,1.17087936088025,1.171279932235759,48.50299401197617,-0.000112970258464129,-7.801945440037364e-05,-3.4950804063755365e-05
1.17066,1.17092,1.17053,1.17086,657,1.1708775169868928,1.1712634643049449,50.0,-0.00010131431056703555,-8.267842563370603e-05,-1.8635884933329523e-05
1.17086,1.17105,1.17035,1.17073,820,1.170863467750046,1.1712425441361236,44.61077844311487,-0.00010139794898877952,-8.642233030472073e-05,-1.4975618684058789e-05
1.17077,1.17103,1.17067,1.17095,525,1.1708717089167082,1.17123107181706,42.00626959247584,-8.275808793478667e-05,-8.568948183073392e-05,2.931393895947248e-06
1.17095,1.17111,1.17081,1.17111,677,1.1708944033055932,1.1712263239026655,50.335570469800864,-5.4447563315074277e-05,-7.9441098127602e-05,2.499353481252773e-05
1.1711,1.1713,1.17095,1.17102,422,1.1709063648955367,1.1712182327692278,46.95945945945837,-3.882595498527763e-05,-7.131806949913713e-05,3.2492114513859495e-05
1.17102,1.17115,1.17083,1.17096,589,1.1709114730007237,1.1712081059939639,36.32812500000213,-3.093066692083646e-05,-6.324058898347699e-05,3.230992206264053e-05
1.17095,1.17121,1.1708,1.17117,531,1.1709360946197025,1.1712066116412594,51.58371040723995,-7.640276933784662e-06,-5.2120526573538526e-05,4.4480249639753864e-05
1.17117,1.17132,1.17108,1.17121,334,1.1709621808463975,1.1712067445180727,59.00000000000244,1.3885131482593849e-05,-3.8919394962312053e-05,5.28045264449059e-05
1.17121,1.17133,1.17108,1.1713,198,1.1709943540991214,1.1712104015957954,58.58585858585836,3.777101976920605e-05,-2.358131201600843e-05,6.135233178521449e-05
1.1713,1.1714,1.17128,1.17139,227,1.1710320346611098,1.17121744467047,60.97560975609307,6.323408301622813e-05,-6.218233009561119e-06,6.945231602578925e-05
1.1709,1.17156,1.17032,1.17156,261,1.1710823170743374,1.1712308782128045,71.35678391959911,9.602441367384529e-05,1.423029632712016e-05,8.179411734672513e-05
1.17156,1.17156,1.17128,1.17138,91,1.1711106678291625,1.171236726126028,75.53191489362054,0.00010626157400484004,3.263655186266414e-05,7.362502214217591e-05
1.17138,1.17167,1.17137,1.17155,152,1.17115250898829,1.1712490113759877,75.53191489362054,0.00012663243666866109,5.143572882386353e-05,7.519670784479756e-05
1.17155,1.17157,1.17135,1.17146,163,1.171181793846548,1.1712572854396746,71.05263157894491,0.00013396992238345895,6.794256753578262e-05,6.602735484767633e-05
1.17146,1.17175,1.17141,1.17163,257,1.1712244801468767,1.1712719016969422,70.58823529411555,0.00015175319555171818,8.470469313896973e-05,6.704850241274845e-05
1.17167,1.17181,1.17163,1.17175,231,1.171274529656698,1.1712906506500034,77.41935483870736,0.0001735292278568501,0.0001024696000825458,7.10596277743043e-05
1.17175,1.17185,1.17164,1.17181,172,1.1713255268322507,1.1713110172911798,75.29411764705745,0.00019339900555603862,0.00012065548117724437,7.274352437879424e-05
1.1718,1.17181,1.1716,1.17172,284,1.1713630957053696,1.1713270558287807,68.71165644171754,0.00019958303075573447,0.0001364409910929424,6.314203966279207e-05
1.17172,1.17181,1.17155,1.17167,154,1.1713923246858107,1.1713405046198089,70.44025157232853,0.00019816501026248545,0.00014878579492685104,4.937921533563442e-05
1.17167,1.17177,1.17157,1.17166,189,1.1714178175728764,1.1713530338504046,72.7272727272688,0.00019399801403263695,0.00015782823874800823,3.616977528462872e-05
1.17166,1.17166,1.17146,1.17157,123,1.1714323111373643,1.1713615423268593,64.0845070422522,0.00018134298263849935,0.00016253118752610645,1.8811795112392898e-05
1.17157,1.17162,1.17144,1.17157,210,1.171445424362377,1.1713697171375708,63.04347826086712,0.00016936148530533046,0.00016389724708195126,5.464238223379202e-06
1.17158,1.17178,1.17136,1.17177,800,1.171476336327865,1.1713854145047249,65.77181208053601,0.00017399864283285105,0.0001659175262321312,8.081116600719835e-06
1.17177,1.17184,1.17143,1.17164,485,1.171491923344259,1.1713953982496377,58.16993464052544,0.0001652784825729725,0.00016578971750029947,-5.112349273269636e-07
1.17164,1.17177,1.17144,1.17157,352,1.1714993592162342,1.171402245377103,50.34965034965263,0.00015097888712634067,0.0001628275514255077,-1.1848664299167038e-05
1.17157,1.17174,1.17152,1.1717,436,1.1715184678623072,1.1714139220289812,61.59420289854489,0.0001484253136323499,0.00015994710386687616,-1.1521790234526267e-05
1.1717,1.17173,1.17139,1.17154,653,1.1715205185420876,1.1714188662631388,49.635036496348,0.00013196966130935017,0.000154351615355371,-2.2381954046020816e-05
1.17154,1.17165,1.17147,1.1716,385,1.1715280882047459,1.1714259695469373,55.223880597016404,0.00012235945323535447,0.00014795318293136768,-2.559372969601322e-05
1.1716,1.17176,1.1715,1.17169,468,1.1715435083757224,1.1714363236823515,52.3809523809507,0.00012061516539119133,0.00014248557942333242,-2.1870414032141097e-05
1.17168,1.17173,1.17119,1.17137,398,1.1715269837685107,1.1714337227536318,36.9863013698576,9.234696077919935e-05,0.0001324578556945058,-4.011089491530646e-05
1.17137,1.17153,1.17121,1.17132,455,1.1715072710286525,1.1714292630378031,33.10344827585541,6.515851601740508e-05,0.00011899798775908566,-5.383947174168059e-05
1.17132,1.17141,1.17113,1.17139,327,1.1714961023592572,1.1714277233108306,38.4615384615313,4.8698526349255644e-05,0.00010493809547711966,-5.623956912786402e-05
1.17139,1.17143,1.17127,1.17138,352,1.171485044991709,1.171425851808445,39.56834532374124,3.444983328892981e-05,9.084044303948169e-05,-5.639060975055188e-05
1.17138,1.17139,1.17112,1.17117,412,1.1714550407067843,1.1714158184041925,34.591194968552756,6.141599885323146e-06,7.390067440864999e-05,-6.775907452332684e-05
1.17117,1.1713,1.1709,1.17116,413,1.1714269415918526,1.1714057863099105,36.423841059599056,-1.6904925999483567e-05,5.573955432702328e-05,-7.264448032650684e-05
1.17117,1.17145,1.17111,1.17141,443,1.1714253281069142,1.1714059515526591,45.454545454546604,-1.4825652250971544e-05,4.1626513011424314e-05,-5.645216526239586e-05
1.17141,1.17151,1.17132,1.1714,368,1.1714229159062557,1.1714057181584372,38.216560509553595,-1.3825359117758396e-05,3.053613858558777e-05,-4.4361497703346165e-05
1.1714,1.17149,1.17119,1.17122,365,1.1714035905818503,1.1713984350934004,37.037037037034,-2.7243074080418594e-05,1.8980296052386495e-05,-4.622337013280509e-05
1.17122,1.17166,1.17109,1.17147,537,1.1714099152883408,1.1714012415603259,47.22222222222256,-1.7502046497641643e-05,1.1683827542380868e-05,-2.9185874040022514e-05
1.17147,1.17161,1.17137,1.17152,440,1.1714203995465942,1.1714058987540386,44.767441860462945,-5.6821297702569495e-06,8.210636079853307e-06,-1.3892765850110256e-05
1.17143,1.17156,1.17136,1.17151,290,1.1714289329231091,1.171409981155841,49.04458598726187,2.845521566152698e-06,7.1376131771131855e-06,-4.292091610960488e-06
1.17151,1.17172,1.17136,1.17144,418,1.171429986930432,1.1714111583654159,44.936708860761186,3.910256697770009e-06,6.492141881244551e-06,-2.5818851834745417e-06
1.17144,1.17153,1.17114,1.17121,562,1.1714090357942004,1.1714032698020662,36.04651162791193,-1.364768878797662e-05,2.4641757474003174e-06,-1.6111864535376938e-05
